city_council_district,type,count,ontime
9,Unsanitary Conditions - Establishment,10,1
9,CE Collection,9,1
9,General Lighting Request,9,1
9,Cross Metering - Sub-Metering,8,1
9,Empty Litter Basket,8,1
9,Illegal Dumping,7,1
9,Knockdown Replacement,7,1
9,No Utilities Residential - Electricity,7,1
9,Street Light Knock Downs,7,1
9,Unshoveled Sidewalk,7,1
9,Plumbing,6,1
9,Request for Litter Basket Installation,6,1
9,Overcrowding,5,1
9,Trash on Vacant Lot,5,1
9,Unsatisfactory Utilities - Electrical  Plumbing,5,1
9,Zoning,5,1
9,General Traffic Engineering Request,4,1
9,Request for Snow Plowing,4,1
9,Abandoned Building,2,1
9,Bed Bugs,2,1
9,Big Buildings Recycling (INTERNAL),2,1
9,Food Alert - Unconfirmed,2,1
9,General Comments For a Program or Policy,2,1
9,Install New Lighting,2,1
9,Parking Meter Repairs,2,1
9,Parking on Front/Back Yards (Illegal Parking),2,1
9,Pavement Marking Inspection,2,1
9,Squalid Living Conditions,2,1
9,Sticker Request,2,1
9,Unsanitary Conditions - Food,2,1
9,Big Buildings Online Request,1,1
9,Fire in Food Establishment,1,1
9,Food Alert - Confirmed,1,1
9,Illegal Posting of Signs,1,1
9,Item Price Missing,1,1
9,Lead,1,1
9,Mechanical,1,1
9,No Utilities - Food Establishment - Water,1,1
9,No Utilities Residential - Water,1,1
9,Pavement Marking Maintenance,1,1
9,Poor Ventilation,1,1
9,Sewage/Septic Back-Up,1,1
9,Transportation General Request,1,1
9,Utility Call-In,1,1
